,t,pixelx,pixely
757,12.73833,691.6306,248.9587
758,12.755,692.3379,247.5442
759,12.77167,692.3379,247.5442
760,12.78833,690.9234,247.5442
761,12.805,690.2161,247.5442
762,12.82167,690.2161,247.5442
763,12.83833,690.2161,247.5442
764,12.85667,690.2161,247.5442
765,12.87333,688.0943,247.5442
766,12.89,688.0943,247.5442
767,12.90667,688.0943,247.5442
768,12.92333,686.6798,244.7151
769,12.94,686.6798,244.7151
770,12.95667,686.6798,244.7151
771,12.97333,686.6798,244.7151
772,12.99,686.6798,244.7151
773,13.00667,686.6798,244.7151
